dli_number,full_name,gender,date_of_birth,aadhaar_number,email,mobile_number,alternate_mobile_number,city,state,pincode,father_name,mother_name,college,course,college_roll_number
DLI22SDA000021,Jignesh Choudhary,Male,2002-07-02,385977034824,jignesh.choudhary66@gmail.com,6109324808,6131712748,Faridabad,Haryana,110467,Prakash Choudhary,Meena Choudhary,DTU,Electrical Engineering,2K22/EE/99
DLI22SDA000022,Ramesh Bhatt,Male,2001-12-05,146584044997,ramesh.bhatt29@gmail.com,6875588675,8396360576,Gurugram,Haryana,110270,Satish Bhatt,Usha Bhatt,Delhi Technological Uni  ,Mathematics & Computing,2K22/MC/26
DLI22SDA000023,Vivek Paswan,Male,2002-01-24,262174596158,vivek.paswan58@gmail.com,7780913431,6117240050,Noida,Uttar Pradesh,110556,Satish Paswan,Meena Paswan,DTU,Production & Industrial Engineering,2K22/PI/175
DLI22SDA000024,Amit Trivedi,Male,2005-10-28,693792374740,amit.trivedi69@gmail.com,7821759464,6436713695,Ghaziabad,Uttar Pradesh,110440,Arvind Trivedi,Asha Trivedi,Delhi Technological University,Production & Industrial Engineering,2K22/PI/176
DLI22SDA000025,Ramesh Bhatt,Male,2002-05-25,395339421047,ramesh.bhatt14@gmail.com,7214562328,7884247451,Gurugram,Haryana,110123,Arvind Bhatt,Rajni Bhatt,Delhi Technological Uni  ,Chemical Engineering,2K22/CH/94
DLI22SDA000026,Manish Mehta,Male,2005-05-18,175496513709,manish.mehta81@gmail.com,7931746120,9471138267,Noida,Uttar Pradesh,110869,Satish Mehta,Lata Mehta,DTU,Biotechnology,2K22/BT/158
DLI22SDA000027,Vishal Jodha,Male,2005-12-12,377351585064,vishal.jodha34@gmail.com,+919713900532,8183933529,Delhi,Delhi,110422,Kailash Jodha,Pushpa Jodha,D.T.U.,Mechanical Engineering,2K22/ME/170
DLI22SDA000028,Arjun Sharma,Male,2003-04-19,502402681177,arjun.sharma56@gmail.com,+91 9783908470,9766177115,Ghaziabad,Uttar Pradesh,110212,Vijay Sharma,Sharda Sharma,DTU,Chemical Engineering,2K22/CH/183
DLI22SDA000029,Ranvijay Bhatt,Male,2001-05-15,896118367365,ranvijay.bhatt68@gmail.com,06615654527,9111615280,Ghaziabad,Uttar Pradesh,110885,Arvind Bhatt,Savita Bhatt,DTU,Environmental Engineering,2K22/EN/193
DLI22SDA000030,Anil Yadav,Male,2003-10-10,519832731585,anil.yadav24@gmail.com,7936899809,7024455022,Ghaziabad,Uttar Pradesh,110612,Pramod Yadav,Sunita Yadav,Delhi Technological University,Chemical Engineering,2K22/CH/56
DLI22SDA000031,Kuldeep Solanki,Male,2003-03-12,459910229014,kuldeep.solanki66@gmail.com,6797643815,6149784036,Ghaziabad,Uttar Pradesh,110003,Anil Solanki,Radha Solanki,D.T.U.,Information Technology,2K22/IT/75
DLI22SDA000032,Harsh Sharma,Male,2002-12-14,226838851606,harsh.sharma12@gmail.com,6159696641,6052975161,New Delhi,Delhi,110696,Devendra Sharma,Kavita Sharma,Delhi Technological University,Information Technology,2K22/IT/191
DLI22SDA000033,Abhishek Shinde,Male,2004-02-17,188355231243,abhishek.shinde32@gmail.com,8127799799,7527177449,Delhi,Delhi,110581,Anil Shinde,Saroj Shinde,DTU,Civil Engineering,2K22/CE/95
DLI22SDA000034,Rohan Dogra,Male,2005-10-20,867980793597,rohan.dogra74@gmail.com,8071518203,6788925546,Gurugram,Haryana,110590,Pramod Dogra,Nirmala Dogra,Delhi Technological University,Mathematics & Computing,2K22/MC/25
DLI22SDA000035,Ishan Choudhary,Male,2001-03-11,192546291486,ishan.choudhary92@gmail.com,7281685054,8357332214,Delhi,Delhi,110888,Suresh Choudhary,Rajni Choudhary,Delhi Technological University,Production & Industrial Engineering,2K22/PI/34
DLI22SDA000036,Yash Mishra,Male,2004-12-25,927065379473,yash.mishra78@gmail.com,8473597746,6239240758,Delhi,Delhi,110814,Naresh Mishra,Sita Mishra,Delhi Technological University,Chemical Engineering,2K22/CH/38
DLI22SDA000037,Kunal Gehlot,Male,2002-06-01,606853615305,kunal.gehlot22@gmail.com,+917220472779,9104328986,Delhi,Delhi,110434,Dinesh Gehlot,Anita Gehlot,Delhi Technological University,Environmental Engineering,2K22/EN/160
DLI22SDA000038,Rohan Vardhan,Male,2002-10-18,089324609539,rohan.vardhan63@gmail.com,+91 8185188888,9670654051,Noida,Uttar Pradesh,110319,Sunil Vardhan,Geeta Vardhan,Delhi Technological University,Chemical Engineering,2K22/CH/87
DLI22SDA000039,Manoj Solanki,Male,2002-11-06,217043030548,manoj.solanki60@gmail.com,06403450541,7667652775,Ghaziabad,Uttar Pradesh,110416,Naresh Solanki,Lata Solanki,DTU,Electrical Engineering,2K22/EE/140
DLI22SDA000040,Vikram Kumar,Male,2005-06-22,447962757059,vikram.kumar65@gmail.com,7016582029,6021355690,Ghaziabad,Uttar Pradesh,110275,Subhash Kumar,Saroj Kumar,D.T.U.,Production & Industrial Engineering,2K22/PI/36
DLI22SDA000041,Satish Patil,Male,2003-04-04,027868144739,satish.patil46@gmail.com,6312172715,7188442258,New Delhi,Delhi,110132,Rajendra Patil,Seema Patil,Delhi Technological University,Chemical Engineering,2K22/CH/147
DLI22SDA000042,Lokendra Yadav,Male,2004-10-03,146786691251,lokendra.yadav67@gmail.com,6852892268,9182422535,Ghaziabad,Uttar Pradesh,110414,Harish Yadav,Nirmala Yadav,Delhi Technological Uni  ,Information Technology,2K22/IT/33
DLI22SDA000043,Hardik Choudhary,Male,2005-09-21,299229959001,hardik.choudhary15@gmail.com,7396907844,6364710276,Gurugram,Haryana,110735,Vinod Choudhary,Geeta Choudhary,Delhi Technological University,Engineering Physics,2K22/EP/82
DLI22SDA000044,Satish Saxena,Male,2003-09-18,153714732104,satish.saxena59@gmail.com,6325953278,6747016873,New Delhi,Delhi,110950,Suresh Saxena,Suman Saxena,DTU,Environmental Engineering,2K22/EN/173
DLI22SDA000045,Ishan Choudhary,Male,2005-02-14,245650609835,ishan.choudhary80@gmail.com,7168784991,8165585239,Ghaziabad,Uttar Pradesh,110680,Suresh Choudhary,Anita Choudhary,Delhi Technological University,Mathematics & Computing,2K22/MC/122
DLI22SDA000046,Yash Bhatt,Male,2001-03-11,952694958887,yash@com,7705516940,6499309728,Faridabad,Haryana,110962,Arvind Bhatt,Meena Bhatt,Delhi Technological University,Engineering Physics,2K22/EP/29
DLI22SDA000047,Aman Trivedi,Male,2003-07-05,636897028385,aman.trivedi94@gmail.com,+916865278585,7973348434,Noida,Uttar Pradesh,110375,Prakash Trivedi,Rekha Trivedi,DTU,Engineering Physics,2K22/EP/71
DLI22SDA000048,Harsh Negi,Male,2001-07-13,524041574733,harsh.negi78@gmail.com,+91 7842199330,8301657120,Ghaziabad,Uttar Pradesh,110267,Prakash Negi,Nirmala Negi,Delhi Technological University,Information Technology,2K22/IT/83
DLI22SDA000049,Ketan Yadav,Male,2005-11-19,380262067240,ketan.yadav11@gmail.com,07991547887,8874315274,Faridabad,Haryana,110205,Anil Yadav,Kiran Yadav,DTU,Computer Engineering,2K22/CO/45
DLI22SDA000050,Harish Shah,Male,2001-06-03,612275304637,harish.shah44@gmail.com,7499045301,6426841459,New Delhi,Delhi,110327,Satish Shah,Saroj Shah,D.T.U.,Production & Industrial Engineering,2K22/PI/96
DLI22SDA000051,Ranjan Yadav,Male,2002-09-26,339187851910,ranjan.yadav80@gmail.com,8982258713,6187072867,Ghaziabad,Uttar Pradesh,110087,Arvind Yadav,Suman Yadav,D.T.U.,Software Engineering,2K22/SE/66
DLI22SDA000052,Vijay Rathore,Male,2001-02-02,651801704622,vijay.rathore92@gmail.com,6567661825,9286823004,Gurugram,Haryana,110868,Ashok Rathore,Meena Rathore,Delhi Technological University,Mathematics & Computing,2K22/MC/40
DLI22SDA000053,Rohit Vardhan,Male,2005-11-14,903311907903,rohit.vardhan15@gmail.com,6738302843,7995342836,Noida,Uttar Pradesh,110408,Manohar Vardhan,Sita Vardhan,DTU,Software Engineering,2K22/SE/143
DLI22SDA000054,Mohit Deshmukh,Male,2002-09-11,662462873342,mohit.deshmukh69@gmail.com,9866882634,8517518304,Gurugram,Haryana,110990,Naresh Deshmukh,Radha Deshmukh,delhi technological university,Production & Industrial Engineering,2K22/PI/186
DLI22SDA000055,Sachin Rathore,Male,2003-05-01,331739363854,sachin.rathore58@gmail.com,6854458771,6535560932,Delhi,Delhi,110489,Manohar Rathore,Lata Rathore,Delhi Technological University,Computer Engineering,2K22/CO/85
DLI22SDA000056,Ranvijay Negi,Male,2004-08-18,547772522872,ranvijay.negi79@gmail.com,9801006231,8038750997,Faridabad,Haryana,110700,Kailash Negi,Sushma Negi,DTU,Civil Engineering,2K22/CE/136
DLI22SDA000057,Prathamesh Joshi,Male,2005-09-27,621182339845,prathamesh.joshi44@gmail.com,+916156793341,9166687002,Delhi,Delhi,110765,Manohar Joshi,Savita Joshi,delhi technological university,Civil Engineering,2K22/CE/59
DLI22SDA000058,Suresh Negi,Male,2002-05-02,148902503926,suresh.negi19@gmail.com,+91 7293968562,9850163159,Ghaziabad,Uttar Pradesh,110965,Ramesh Negi,Nirmala Negi,Delhi Technological University,Biotechnology,2K22/BT/126
DLI22SDA000059,Pushpendra Yadav,Male,2002-07-06,961943114262,pushpendra.yadav59@gmail.com,07511047541,8126788861,Delhi,Delhi,110158,Naresh Yadav,Sharda Yadav,DTU,Mathematics & Computing,2K22/MC/99
DLI22SDA000060,Ishan Patel,Male,2002-02-24,839826224447,ishan.patel28@gmail.com,9264647154,8799371240,Gurugram,Haryana,110596,Sunil Patel,Saroj Patel,Delhi Technological University,Environmental Engineering,2K22/EN/153
DLI22SDA000061,Kartik Patil,Male,2001-12-07,752654793564,kartik.patil60@gmail.com,7193982807,8741672434,Faridabad,Haryana,110266,Naresh Patil,Saroj Patil,Delhi Technological Uni  ,Biotechnology,2K22/BT/150
DLI22SDA000062,Prathamesh Sinha,Male,2002-09-02,589113529096,prathamesh.sinha52@gmail.com,6101438889,8756798250,Gurugram,Haryana,110146,Naresh Sinha,Savita Sinha,delhi technological university,Engineering Physics,2K22/EP/37
DLI22SDA000063,Kartik Shinde,Male,2002-04-17,757177514010,kartik.shinde53@gmail.com,9238282586,6362266093,Gurugram,Haryana,110966,Ramesh Shinde,Radha Shinde,Delhi Technological University,Engineering Physics,2K22/EP/17
DLI22SDA000064,Alok Choudhary,Male,2004-06-11,371478596969,alok.choudhary24@gmail.com,7579249912,7134125286,Gurugram,Haryana,110929,Ashok Choudhary,Lata Choudhary,Delhi Technological University,Environmental Engineering,2K22/EN/138
DLI22SDA000065,Chinmay Mishra,Male,2002-05-05,257905072368,chinmay.mishra74@gmail.com,6676772190,8404384279,Faridabad,Haryana,110788,Dinesh Mishra,Kiran Mishra,Delhi Technological University,Chemical Engineering,2K22/CH/94
DLI22SDA000066,Vikash Trivedi,Male,2001-04-14,134074517133,vikash.trivedi85@gmail.com,7962923309,7849825449,Noida,Uttar Pradesh,110812,Sanjay Trivedi,Anita Trivedi,Delhi Technological Uni  ,Environmental Engineering,2K22/EN/33
DLI22SDA000067,Pankaj Pandey,Male,2003-04-25,672946671168,pankaj.pandey45@gmail.com,+917775901751,6363745458,Ghaziabad,Uttar Pradesh,110297,Sunil Pandey,Rajni Pandey,D.T.U.,Civil Engineering,2K22/CE/26
DLI22SDA000068,Aman Vardhan,Male,2004-08-15,063242415415,aman.vardhan95@gmail.com,+91 8064361103,6129387005,Delhi,Delhi,110627,Naresh Vardhan,Meena Vardhan,Delhi Technological University,Engineering Physics,2K22/EP/27
DLI22SDA000069,Vikram Gaikwad,Male,2003-03-13,221890927532,vikram.gaikwad62@gmail.com,06311219656,7234138999,Noida,Uttar Pradesh,110043,Devendra Gaikwad,Sharda Gaikwad,DTU,Engineering Physics,2K22/EP/101
DLI22SDA000070,Ketan Yadav,Male,2004-08-13,137918055269,ketan.yadav63@gmail.com,7827109104,8006848666,Delhi,Delhi,110889,Satish Yadav,Pushpa Yadav,Delhi Technological University,Mechanical Engineering,2K22/ME/131
DLI23SDA000001,Alok Pandey,Male,2002-06-13,914630316179,alok.pandey87@gmail.com,9421020275,7252410564,Ghaziabad,Uttar Pradesh,110149,Pramod Pandey,Kavita Pandey,DTU,Chemical Engineering,2K23/CH/93
DLI23SDA000002,Swapnil Negi,Male,2005-06-06,419138000307,swapnil.negi56@gmail.com,6220863536,7419518023,Ghaziabad,Uttar Pradesh,110061,Rajesh Negi,Suman Negi,D.T.U.,Information Technology,2K23/IT/84
DLI23SDA000003,Chinmay Solanki,Male,2006-06-07,494937597383,chinmay.solanki29@gmail.com,9603850506,7138367024,Delhi,Delhi,110038,Sanjay Solanki,Rekha Solanki,DTU,Engineering Physics,2K23/EP/22
DLI23SDA000004,Shreyas Saxena,Male,2003-02-19,906234456557,shreyas.saxena44@gmail.com,8132912127,6561853747,Noida,Uttar Pradesh,110112,Arvind Saxena,Suman Saxena,delhi technological university,Engineering Physics,2K23/EP/155
DLI23SDA000005,Gaurav Patil,Male,2005-02-23,356804420678,gaurav.patil80@gmail.com,8171210032,8651994101,New Delhi,Delhi,110721,Sunil Patil,Savita Patil,Delhi Technological University,Biotechnology,2K23/BT/13
DLI23SDA000006,Anurag Negi,Male,2003-12-13,706625324472,anurag.negi14@gmail.com,8476870146,8638380657,Ghaziabad,Uttar Pradesh,110759,Devendra Negi,Manju Negi,Delhi Technological University,Electrical Engineering,2K23/EE/7
DLI23SDA000007,Harshal Gehlot,Male,2006-05-02,785932133480,harshal.gehlot38@gmail.com,+916522395590,7992937842,Gurugram,Haryana,110010,Rajendra Gehlot,Sharda Gehlot,Delhi Technological University,Chemical Engineering,2K23/CH/123
DLI23SDA000008,Gajendra Bisht,Male,2005-03-11,250029218515,gajendra.bisht94@gmail.com,+91 6915452267,7289539264,Faridabad,Haryana,110422,Ramesh Bisht,Kiran Bisht,Delhi Technological University,Production & Industrial Engineering,2K23/PI/9
DLI23SDA000009,Harshal Patil,Male,2002-04-21,917251355215,harshal.patil67@gmail.com,09433154100,6762676586,Delhi,Delhi,110793,Mahesh Patil,Saroj Patil,Delhi Technological University,Civil Engineering,2K23/CE/76
DLI23SDA000010,Vikram Choudhary,Male,2006-02-11,262181599706,vikram.choudhary93@gmail.com,8962015336,7443106987,New Delhi,Delhi,110050,Sanjay Choudhary,Kavita Choudhary,Delhi Technological University,Environmental Engineering,2K23/EN/161
DLI23SDA000011,Rohit Kumar,Male,2006-04-06,417146774186,rohit.kumar33@gmail.com,7652704774,8490211586,Ghaziabad,Uttar Pradesh,110380,Ashok Kumar,Usha Kumar,DTU,Chemical Engineering,2K23/CH/176
DLI23SDA000012,Ajay Shekhawat,Male,2003-05-03,608989921722,ajay.shekhawat37@gmail.com,8206163294,7116868548,Gurugram,Haryana,110099,Devendra Shekhawat,Lata Shekhawat,Delhi Technological University,Electrical Engineering,2K23/EE/38
DLI23SDA000013,Anurag Kumar,Male,2002-02-26,485646799702,anurag.kumar45@gmail.com,6299606530,6450544471,New Delhi,Delhi,110247,Sunil Kumar,Pushpa Kumar,D.T.U.,Production & Industrial Engineering,2K23/PI/166
DLI23SDA000014,Rohit Trivedi,Male,2005-07-24,785082148628,rohit.trivedi82@gmail.com,9233030705,8457861035,Gurugram,Haryana,110972,Prakash Trivedi,Kiran Trivedi,DTU,Mathematics & Computing,2K23/MC/42
DLI23SDA000015,Vijay Chauhan,Male,2004-01-13,029333346800,vijay.chauhan70@gmail.com,8290349446,6574374896,Ghaziabad,Uttar Pradesh,110108,Arvind Chauhan,Rekha Chauhan,DTU,Production & Industrial Engineering,2K23/PI/156
DLI23SDA000016,Kartik Kumar,Male,2003-02-11,454443283096,kartik.kumar94@gmail.com,7207446660,8538758428,New Delhi,Delhi,110417,Satish Kumar,Pushpa Kumar,D.T.U.,Chemical Engineering,2K23/CH/196
DLI23SDA000017,Vishal Shinde,Male,2006-04-12,346554947170,vishal.shinde91@gmail.com,+919738168460,8235697252,Delhi,Delhi,110752,Sunil Shinde,Nirmala Shinde,Delhi Technological University,Biotechnology,2K23/BT/71
DLI23SDA000018,Vikash Mishra,Male,2002-03-16,129666676008,cadet@,+91 7058300335,7216894210,Noida,Uttar Pradesh,110478,Vinod Mishra,Usha Mishra,Delhi Technological University,Environmental Engineering,2K23/EN/35
DLI23SDA000019,Suresh Prasad,Male,2004-04-06,603323098215,suresh.prasad93@gmail.com,09648909010,9167618472,New Delhi,Delhi,110046,Arvind Prasad,Savita Prasad,DTU,Information Technology,2K23/IT/160
DLI23SDA000020,Kuldeep Kumar,Male,2002-12-20,141173934835,kuldeep.kumar62@gmail.com,7208737530,9119721811,Noida,Uttar Pradesh,110374,Vijay Kumar,Saroj Kumar,Delhi Technological University,Electrical Engineering,2K23/EE/11
DLI23SDA000021,Digvijay Patil,Male,2003-12-04,100225579415,digvijay.patil53@gmail.com,8166746762,9202169797,New Delhi,Delhi,110965,Vinod Patil,Sunita Patil,delhi technological university,Engineering Physics,2K23/EP/34
DLI23SDA000022,Ramesh Prasad,Male,2006-07-15,014508993588,ramesh.prasad98@gmail.com,9637562890,9287721753,Noida,Uttar Pradesh,110408,Rajendra Prasad,Sushma Prasad,DTU,Software Engineering,2K23/SE/61
DLI23SDA000023,Lokendra Trivedi,Male,2002-08-03,775170166088,lokendra.trivedi10@gmail.com,9994883755,9375899757,Delhi,Delhi,110130,Sunil Trivedi,Rekha Trivedi,delhi technological university,Information Technology,2K23/IT/141
DLI23SDA000024,Ranjan Kumar,Male,2006-03-16,261493316373,ranjan.kumar53@gmail.com,9609177982,6080869782,Faridabad,Haryana,110922,Dinesh Kumar,Asha Kumar,DTU,Production & Industrial Engineering,2K23/PI/83
DLI23SDA000025,Kuldeep Bhatt,Male,2005-05-13,547226984858,kuldeep.bhatt90@gmail.com,8339452288,7158799684,Gurugram,Haryana,110081,Ramesh Bhatt,Asha Bhatt,Delhi Technological University,Environmental Engineering,2K23/EN/15
DLI23SDA000026,Tushar Mishra,Male,2004-11-09,204380571983,tushar.mishra92@gmail.com,6384066658,9043973598,Faridabad,Haryana,110933,Anil Mishra,Saroj Mishra,Delhi Technological University,Environmental Engineering,2K23/EN/20
DLI23SDA000027,Deepak Sinha,Male,2006-07-02,648422940572,deepak.sinha15@gmail.com,+918590947985,9583281826,Ghaziabad,Uttar Pradesh,110861,Subhash Sinha,Meena Sinha,delhi technological university,Environmental Engineering,2K23/EN/85
DLI23SDA000028,Digvijay Joshi,Male,2005-10-17,780157399305,digvijay.joshi58@gmail.com,+91 9648408588,6704358112,Ghaziabad,Uttar Pradesh,110801,Harish Joshi,Rajni Joshi,DTU,Computer Engineering,2K23/CO/176
DLI23SDA000029,Manoj Kumar,Male,2005-09-27,612075011024,manoj.kumar81@gmail.com,09934667665,9618091901,Noida,Uttar Pradesh,110814,Arvind Kumar,Suman Kumar,DTU,Information Technology,2K23/IT/196
DLI23SDA000030,Ranvijay Mehta,Male,2006-08-06,832684245088,ranvijay.mehta28@gmail.com,9009968814,8536822239,Noida,Uttar Pradesh,110312,Arvind Mehta,Kiran Mehta,delhi technological university,Chemical Engineering,2K23/CH/119
DLI23SDA000031,Ishan Gupta,Male,2004-02-07,975523149135,ishan.gupta72@gmail.com,6594929955,6205336452,Faridabad,Haryana,110577,Rajesh Gupta,Rekha Gupta,D.T.U.,Biotechnology,2K23/BT/142
DLI23SDA000032,Deepak Dogra,Male,2002-02-27,428341108099,deepak.dogra61@gmail.com,8084887256,8942788165,Ghaziabad,Uttar Pradesh,110039,Arvind Dogra,Sita Dogra,D.T.U.,Electrical Engineering,2K23/EE/115
DLI23SDA000033,Deepak Negi,Male,2002-11-28,275037314530,deepak.negi95@gmail.com,8856770051,7498926659,Faridabad,Haryana,110184,Ashok Negi,Meena Negi,DTU,Mathematics & Computing,2K23/MC/89
DLI23SDA000034,Manish Gohil,Male,2002-01-17,272318432225,manish.gohil87@gmail.com,9365177739,8603029922,Faridabad,Haryana,110809,Satish Gohil,Anita Gohil,Delhi Technological University,Electrical Engineering,2K23/EE/133
DLI23SDA000035,Harshal Negi,Male,2006-12-24,413797723692,harshal.negi84@gmail.com,8984257991,8662103886,New Delhi,Delhi,110912,Prakash Negi,Sharda Negi,DTU,Chemical Engineering,2K23/CH/129
DLI23SDA000036,Kunal Gohil,Male,2005-10-18,068650863765,kunal.gohil85@gmail.com,9624731498,6430098180,Gurugram,Haryana,110356,Subhash Gohil,Savita Gohil,Delhi Technological University,Environmental Engineering,2K23/EN/150
DLI23SDA000037,Sumit Choudhary,Male,2003-10-12,946368872588,sumit.choudhary71@gmail.com,+917495621372,9386589026,Faridabad,Haryana,110012,Prakash Choudhary,Sharda Choudhary,DTU,Mechanical Engineering,2K23/ME/68
DLI23SDA000038,Digvijay Chauhan,Male,2002-01-24,669849027703,digvijay.chauhan94@gmail.com,+91 7309883920,7302146566,Ghaziabad,Uttar Pradesh,110380,Naresh Chauhan,Kavita Chauhan,DTU,Engineering Physics,2K23/EP/144
DLI23SDA000039,Pushpendra Jodha,Male,2005-10-07,769042681818,pushpendra.jodha47@gmail.com,07184894769,6357790714,Delhi,Delhi,110633,Sunil Jodha,Lata Jodha,Delhi Technological Uni  ,Chemical Engineering,2K23/CH/138
DLI23SDA000040,Ranjan Choudhary,Male,2005-05-03,651827553942,ranjan.choudhary97@gmail.com,8733343333,7211179080,Gurugram,Haryana,110595,Prakash Choudhary,Kiran Choudhary,delhi technological university,Biotechnology,2K23/BT/47
DLI23SDA000041,Satish Gehlot,Male,2002-03-02,867808562718,satish.gehlot68@gmail.com,7003691559,7284347955,New Delhi,Delhi,110763,Sanjay Gehlot,Rekha Gehlot,Delhi Technological University,Software Engineering,2K23/SE/72
DLI23SDA000042,Deepak Negi,Male,2005-10-22,314386632270,deepak.negi32@gmail.com,6728857448,9612034717,Faridabad,Haryana,110545,Subhash Negi,Sushma Negi,DTU,Information Technology,2K23/IT/89
DLI23SDA000043,Kuldeep Vardhan,Male,2004-11-20,399824558771,kuldeep.vardhan58@gmail.com,7722569961,9253554496,Noida,Uttar Pradesh,110759,Devendra Vardhan,Saroj Vardhan,DTU,Electrical Engineering,2K23/EE/6
DLI23SDA000044,Rajesh Shekhawat,Male,2004-12-23,132611178006,rajesh.shekhawat77@gmail.com,9149216433,7722820055,Gurugram,Haryana,110784,Kailash Shekhawat,Saroj Shekhawat,Delhi Technological University,Engineering Physics,2K23/EP/139
DLI23SDA000045,Parth Bhatt,Male,2003-11-24,968845783174,parth.bhatt56@gmail.com,6424008254,6807740649,New Delhi,Delhi,110085,Harish Bhatt,Lata Bhatt,delhi technological university,Software Engineering,2K23/SE/102
DLI23SDA000046,Amit Dogra,Male,2003-07-08,416389448463,amit.dogra18@gmail.com,8241797497,8502080214,Noida,Uttar Pradesh,110270,Rajendra Dogra,Kavita Dogra,Delhi Technological University,Biotechnology,2K23/BT/56
